destination_id,edge_id,method,level,service,class,Class.keyword,class,Class.keyword,messageRealm,serviceAction,messageParams.subscriber,messageParams.calledMessageQueue,messageParams.type,messageParams.messageID,messageParams.correlationID,messageParams.transactionID,messageParams.originatingMS,messageParams.terminatingMS,serviceData.httpParams.statusCode,message_id_length,correlation_id_length,transaction_id_length
64954b9d04844abe0c138c09,64954b9d04844abe0c138c0a,deserializeMessage,INTERNALTRACE,smsbroker,,,,,internal,unsubscribe,ocxuaESEv0bNKKGu,intelepeersmsadapter-intelepeersmsadapter-786c758856-xz7f4,response,590adc18-569d-4daa-bf00-2dc6aee90cf1,2f3f26b2689559a62ff86862237ab9a9,53e6b6c1-fae8-4568-94ad-cca25913befc:43e3b38f-f604-4b3f-82ac-f4767177c60a,intelepeersmsadapter,smsbroker,200,36,32,73
64954b9d04844abe0c138c09,64954b9d04844abe0c138c0b,deserializeMessage,INTERNALTRACE,smsbroker,,,,,external,subscribe,ocxuaESEv0bNKKGu,intelepeersmsadapter-intelepeersmsadapter-786c758856-xz7f4,response,f599f9e4-d187-4a61-8aaf-e6ccb0553e12,910d10183dab6ad6aeb995cfaf349b5c,53e6b6c1-fae8-4568-94ad-cca25913befc:68ebf934-07b9-4484-a4d5-ca7709e5171f,intelepeersmsadapter,smsbroker,200,36,32,73
64954b9d04844abe0c138c09,64954b9d04844abe0c138c0c,deserializeMessage,INTERNALTRACE,smsbroker,,,,,internal,unsubscribe,ocxuaESEv0bNKKGu,intelepeersmsadapter-intelepeersmsadapter-786c758856-xz7f4,response,9498f7d1-fd11-4728-8960-a6c2d4f449d4,7f4913c18078382412d790e7516af491,5bc46508-0fac-466f-95ae-60affd456271:a9414ef0-7ddd-4e6c-b797-d9deb3e1de6a,intelepeersmsadapter,smsbroker,200,36,32,73
64954b9d04844abe0c138c09,64954b9d04844abe0c138c0d,deserializeMessage,INTERNALTRACE,smsbroker,,,,,external,subscribe,ocxuaESEv0bNKKGu,intelepeersmsadapter-intelepeersmsadapter-786c758856-xz7f4,response,2a5ed6f4-2bbd-41ef-b3f7-1e302bd517d8,b004ed73fe726c494cbc273f23344b0f,5bc46508-0fac-466f-95ae-60affd456271:c9f3a0b0-df34-45ff-9a4b-f2de8a8c4c90,intelepeersmsadapter,smsbroker,200,36,32,73
64954b9d04844abe0c138c09,64954b9d04844abe0c138c0e,deserializeMessage,INTERNALTRACE,smsbroker,,,,,internal,unsubscribe,ocxuaESEv0bNKKGu,intelepeersmsadapter-intelepeersmsadapter-786c758856-xz7f4,response,6b73e46e-9d67-4496-9c7f-fceee8b99d6a,b746b183302b3da2d4ac1a0e5f346f66,aa8a17c8-8612-412c-9e0a-249ed9d00deb:d9ed9c7f-8ae6-40c4-aed8-6c8a83c8d427,intelepeersmsadapter,smsbroker,200,36,32,73
64954b9d04844abe0c138c09,64954b9d04844abe0c138c0f,deserializeMessage,INTERNALTRACE,smsbroker,,,,,external,subscribe,ocxuaESEv0bNKKGu,intelepeersmsadapter-intelepeersmsadapter-786c758856-xz7f4,response,56738a87-ec47-435d-b486-72dfdd556968,c7de8fa8a5265aba009fca30f7723c6f,aa8a17c8-8612-412c-9e0a-249ed9d00deb:b97c5d71-00a8-4081-92a2-be2a1e6e29d6,intelepeersmsadapter,smsbroker,200,36,32,73
64954b9d04844abe0c138c09,64954b9d04844abe0c138c10,deserializeMessage,INTERNALTRACE,smsbroker,,,,,internal,unsubscribe,ocxuaESEv0bNKKGu,intelepeersmsadapter-intelepeersmsadapter-786c758856-xz7f4,response,44ac0c4e-9ba4-4757-9107-bdddcbbd3c77,b774af30b4310ca696d3d4243a8d2cca,12c3abd8-4b5d-4d27-8503-074acf12f035:a50425ed-ef28-4dd5-bb12-740f97cf7eda,intelepeersmsadapter,smsbroker,200,36,32,73
64954b9d04844abe0c138c09,64954b9d04844abe0c138c11,deserializeMessage,INTERNALTRACE,smsbroker,,,,,external,subscribe,ocxuaESEv0bNKKGu,intelepeersmsadapter-intelepeersmsadapter-786c758856-xz7f4,response,690cb8ec-97be-4cec-83c3-bdf09baf8a57,a5f893fbfb5a476fe00642b7c50433dc,12c3abd8-4b5d-4d27-8503-074acf12f035:3db192c8-4a71-43b5-8295-dad36bb2c9e6,intelepeersmsadapter,smsbroker,200,36,32,73
64954b9d04844abe0c138c09,64954b9d04844abe0c138c12,deserializeMessage,INTERNALTRACE,smsbroker,,,,,internal,unsubscribe,ocxuaESEv0bNKKGu,intelepeersmsadapter-intelepeersmsadapter-786c758856-xz7f4,response,d18d80e4-ff2e-4f57-9b24-fa2dcb7a7269,e81c9c48037624b8f204d684cc285b96,dcc132a4-b764-429c-a786-94d84f43cd42:bbfbf3ae-5bb6-4154-b336-14883ebcee7f,intelepeersmsadapter,smsbroker,200,36,32,73
64954b9d04844abe0c138c09,64954b9d04844abe0c138c13,deserializeMessage,INTERNALTRACE,smsbroker,,,,,external,subscribe,ocxuaESEv0bNKKGu,intelepeersmsadapter-intelepeersmsadapter-786c758856-xz7f4,response,1ad26bd7-ad1b-4bfb-9ca8-95569f27fdcf,84bc7855f58b104e73857f97e1f5cb2c,dcc132a4-b764-429c-a786-94d84f43cd42:f68f64ee-7248-4232-a614-84eb2fdba39c,intelepeersmsadapter,smsbroker,200,36,32,73
